scenario,year,population,age_0_14,age_15_64,age_65_plus,old_age_dependency,total_dependency,share_65_plus,median_age,births,net_international_migration
NIM 574 mil; fecundidade Census,2097,330667058.97288036,42967331.23304553,186401607.35640875,101298120.38342609,54.34401656727094,77.39496116073141,30.634475867683587,49.33365699172827,2712901.6385285165,574000.0
NIM 574 mil; fecundidade Census,2098,329686747.90026265,42810995.71803058,185631822.11723325,101243930.06499884,54.54018007810084,77.60249516489338,30.709129411421568,49.36630541453064,2702079.0771047333,574000.0
NIM 574 mil; fecundidade Census,2099,328704814.1587056,42656191.94019416,184863714.0780828,101184908.14042863,54.73486705870798,77.80926657130081,30.782910314046827,49.39672839851204,2690973.8604446095,574000.0
NIM 574 mil; fecundidade Census,2100,327722024.1537903,42502024.4044211,184099489.495588,101120510.25378111,54.92709976048276,78.01354314002276,30.855573565702205,49.42529472861515,2679597.4041676978,574000.0
NIM 574 mil; fecundidade CBO,2025,341784857.0,58899693.0,218268076.0,64617088.0,29.60446125891539,56.58948539959641,18.905778496792795,39.384881493556044,,
NIM 574 mil; fecundidade CBO,2026,342927579.248088,58463534.520491034,218085678.45295596,66378366.27464102,30.43682957336409,57.24442874045127,19.35638026553127,39.61337389829415,3609543.36495864,574000.0
NIM 574 mil; fecundidade CBO,2027,344002554.06873584,58061343.25250634,217936373.43974328,68004837.37648624,31.203986880734593,57.84540627122454,19.768701299496183,39.836929506899125,3591688.8116084686,574000.0
NIM 574 mil; fecundidade CBO,2028,345002788.28642714,57638669.033186406,217810770.25313696,69553349.0001038,31.932924583697016,58.39565136538897,20.16022807976828,40.063744827159404,3568227.1537540318,574000.0
NIM 574 mil; fecundidade CBO,2029,345932147.9266106,57195498.8396678,217729402.6440712,71007246.4428716,32.612612527555264,58.88168695898013,20.526350866336877,40.29799571039596,3550067.085171255,574000.0
NIM 574 mil; fecundidade CBO,2030,346796209.5837248,56717309.4334215,217802032.34898967,72276867.8013135,33.18466178749998,59.225424043814435,20.84130846991399,40.54142624215176,3538814.1210114867,574000.0
NIM 574 mil; fecundidade CBO,2031,347591613.4665775,56241869.70477276,218052672.86954632,73297070.89225847,33.61438772003023,59.407178500641486,21.0871229490427,40.78665147205771,3524904.9725076146,574000.0
NIM 574 mil; fecundidade CBO,2032,348325168.0450689,55835099.480594605,218337541.78502774,74152526.77944656,33.96233472870009,59.53516980970009,21.28830575051991,41.02199316125027,3518205.728829569,574000.0
NIM 574 mil; fecundidade CBO,2033,348990000.16905373,55461205.54213787,218605684.82498914,74923109.80192679,34.27317540342493,59.643606911891354,21.468554905766183,41.24035448657954,3504663.60797907,574000.0
NIM 574 mil; fecundidade CBO,2034,349583841.1670517,55133632.580461316,218747569.42698196,75702639.1596083,34.607305287055034,59.81153165852333,21.655073903554126,41.44605918128994,3488391.21928458,574000.0
NIM 574 mil; fecundidade CBO,2035,350106318.89613867,54834850.453948736,218726817.9848592,76544650.4573307,34.99554885977874,60.065565860503604,21.86325876627156,41.64127189530989,3471211.0399877653,574000.0
NIM 574 mil; fecundidade CBO,2036,350557777.60412014,54630265.03220929,218587427.64843217,77340084.92347875,35.38176269125123,60.37417219070083,22.06200799538894,41.828273758392875,3453084.2974073756,574000.0
NIM 574 mil; fecundidade CBO,2037,350943739.88666606,54324430.32561857,218779695.26234022,77839614.29870738,35.57899383915375,60.40964837520555,22.180083429852587,42.00838385256565,3438789.5934204073,574000.0
NIM 574 mil; fecundidade CBO,2038,351266293.2828314,54051497.713498875,219085901.93130407,78128893.63802838,35.66130588472382,60.33267781555992,22.24206965828083,42.18201024909311,3424472.1193633243,574000.0
NIM 574 mil; fecundidade CBO,2039,351524463.7843699,53831818.321122386,219391768.74829355,78300876.71495397,35.68997923745624,60.22682427419197,22.274659314460926,42.35685976985486,3406483.4374079197,574000.0
NIM 574 mil; fecundidade CBO,2040,351720240.35267866,53605337.776102714,219615449.76956552,78499452.80701043,35.74404846716251,60.15277646528324,22.318719198047024,42.54185699193052,3387460.2988641383,574000.0
NIM 574 mil; fecundidade CBO,2041,351855030.1038915,53366471.89284821,219881334.58790487,78607223.62313843,35.749839235086405,60.02041772364528,22.34079859535566,42.741515960894816,3366434.5494190725,574000.0
NIM 574 mil; fecundidade CBO,2042,351929305.2212628,53121092.7409989,220029532.41145548,78778680.06880847,35.803684716964376,59.94639508807146,22.38480254415847,42.95730537313578,3342292.9806592837,574000.0
NIM 574 mil; fecundidade CBO,2043,351947575.85630995,52875712.8845448,220121473.02333528,78950389.94842988,35.866737062976256,59.88788872905628,22.432428965120376,43.19472736812535,3319158.753996385,574000.0
NIM 574 mil; fecundidade CBO,2044,351913734.1164502,52624459.71620754,220111716.42499825,79177557.9752444,35.97153266587864,59.879601064472496,22.49913836811044,43.429259681956125,3295399.442800317,574000.0
NIM 574 mil; fecundidade CBO,2045,351834111.88962907,52362249.06440324,219914427.84474984,79557434.980476,36.1765418304615,59.986825483778134,22.612200549056855,43.64440197993105,3273435.8637293666,574000.0
NIM 574 mil; fecundidade CBO,2046,351714610.82633716,52092969.77398309,219698838.7607424,79922802.29161166,36.378345348766096,60.08942642130361,22.72376518673385,43.83431115787032,3252726.540348547,574000.0
